	Genome covered by detected segments in bases	Proportion with covered by detected segment (%)
Papuans	238975131	8.2947716071615
BEB	418107	0.014512397410739253
KHV	410148	0.014236142358821743
JPT	341137	0.011840786486491154
CDX	295956	0.010272564410767451
CHS	290344	0.010077773186824611
GIH	288314	0.010007312355640726
STU	286527	0.009945285998337473
CLM	261544	0.0090781318380089
PUR	260028	0.00902551182811985
CEU	242651	0.008422360171231982
GBR	228504	0.00793132106839532
FIN	223403	0.0077542665364401485
MXL	221954	0.007703972081077858
CHB	219289	0.007611470546543349
TSI	218672	0.007590054619035735
PJL	218327	0.00757807974871138
ITU	214483	0.007444655396459728
IBS	185548	0.006440328228821442
PEL	183371	0.00636476506158631
